Day fraction since midnight on 	pH probe (pH)
0.61861574	3.590954065
0.618627336	3.576782465
0.618638901	3.583338738
0.618650488	3.566455841
0.618662051	3.581453323
0.618673623	3.558697224
0.61868519	3.568336725
0.618696773	3.551044703
0.61870835	3.563062668
0.61871992	3.548148155
0.618731474	3.560535669
0.618743065	3.550420761
0.618754642	3.551448822
0.618766226	3.547509432
0.618777777	3.546797752
0.61878937	3.546602726
0.618800955	3.543426514
0.618812523	3.545352221
0.618824078	3.534864187
0.618835669	3.54057169
0.618847243	3.53168273
0.618858799	3.539841175
0.618870385	3.528183222
0.618881945	3.539693594
0.618893547	3.529145956
0.618905112	3.540851116
0.618916701	3.527261257
0.618928263	3.532133102
0.618939819	3.515563011
0.618951412	3.521887779
0.618962992	3.510689735
0.618974572	3.528481007
0.618986146	3.512781382
0.618997708	3.527383566
0.619009274	3.509052515
0.619020852	3.514540434
0.619032432	3.502488375
0.619044014	3.520732164
0.619055605	3.499714613
0.619067139	3.509171724
0.619078735	3.494330645
0.619090298	3.508147717
0.619101859	3.49531579
0.61911345	3.507801056
0.619125017	3.493480444
0.6191366	3.493503332
0.619148166	3.481626988
0.619159749	3.48496294
0.619171331	3.480074406
0.619182898	3.480265379
0.619194479	3.476916313
0.619206029	3.475038528
0.619217621	3.475906134
0.619229196	3.471189261
0.619240781	3.478437424
0.619252351	3.466137171
0.619263917	3.475326777
0.619275503	3.46993947
0.619287062	3.483649731
0.619298626	3.469625711
0.619310212	3.480072022
0.619321792	3.467984676
0.61933337	3.47984457
0.619344944	3.459788322
0.619356514	3.46740818
0.619368073	3.451919317
0.619379652	3.464858532
0.619391233	3.451504946
0.61940279	3.465391636
0.619414381	3.449680805
0.619425938	3.460722446
0.619437532	3.446001053
0.619449106	3.456821919
0.61946067	3.437553167
0.619472259	3.45605588
0.619483831	3.439365149
0.6194954	3.453763962
0.619506996	3.438545227
0.619518539	3.449027777
0.619530124	3.436791897
0.619541699	3.446855784
0.619553257	3.445413828
0.619564837	3.449152231
0.619576419	3.441919327
0.619587982	3.437945843
0.619599571	3.440115213
0.619611139	3.430592537
0.61962272	3.423370123
0.619634298	3.583928108
0.619645867	3.448467732
0.619657454	3.423923016
0.619669018	3.429480076
0.619680586	3.420017004
0.619692161	3.420711994
0.619703742	3.408020735
0.619715314	3.422460556
0.619726884	3.409730196
0.619738479	3.426529169
0.619750042	3.411196947
0.619761614	3.422198057
0.619773187	3.411995888
0.619784763	3.421962738
0.619796332	3.398439169
0.61980791	3.416470528
0.619819469	3.40102315
0.619831063	3.421680689
0.61984262	3.405014515
0.61985422	3.42343092
0.61986579	3.401714802
0.619877355	3.415181875
0.619888921	3.398780584
0.619900497	3.409527779
0.619912071	3.395055294
0.619923657	3.403571129
0.619935221	3.392834187
0.619946814	3.393952608
0.619958379	3.392228127
0.61996994	3.389562368
0.61998152	3.384853363
0.619993104	3.38731885
0.620004673	3.408449888
0.620016249	3.565773249
0.620027819	3.429023027
0.6200394	3.405693531
0.620050977	3.404191971
0.620062528	3.38937664
0.620074104	3.394447565
0.62008569	3.382966042
0.620097269	3.392105341
0.620108855	3.381974459
0.620120424	3.394756556
0.620131973	3.38168478
0.62014356	3.39396143
0.620155122	3.376943111
0.620166727	3.391634226
0.620178287	3.378777742
0.620189861	3.393398285
0.620201446	3.374099016
0.620213021	3.38444519
0.6202246	3.362896919
0.620236155	3.373435736
0.620247734	3.351442099
0.620259305	3.373576641
0.620270877	3.358896017
0.620282454	3.378583431
0.620294033	3.363224745
0.620305591	3.367655993
0.620317183	3.35659647
0.620328748	3.363745689
0.62034032	3.359592199
0.620351904	3.361807108
0.620363486	3.361106157
0.620375053	3.355925798
0.620386639	3.36020112
0.620398186	3.361191988
0.620409759	3.36420536
0.620421354	3.359596491
0.620432917	3.361898422
0.620444491	3.342786074
0.620456085	3.370518208
0.620467639	3.333720207
0.620479223	3.364234209
0.620490778	3.327273607
0.620502362	3.353884697
0.620513957	3.314901829
0.620525512	3.356475353
0.620537104	3.316654444
0.620548664	3.352819443
0.620560233	3.309518337
0.62057181	3.353228807
0.620583386	3.308055639
0.620594962	3.348154783
0.620606535	3.297780275
0.620618107	3.34044385
0.620629688	3.303936243
0.620641256	3.342386007
0.620652831	3.301145315
0.620664417	3.344215632
0.620676009	3.308656454
0.62068755	3.334235191
0.620699129	3.304280281
0.620710713	3.321843863
0.620722278	3.312532187
0.620733839	3.322844029
0.620745427	3.319289208
0.620756997	3.318220854
0.620768559	3.318480015
0.620780164	3.312292814
0.620791718	3.319165707
0.620803298	3.3064363
0.620814871	3.322553158
0.620826448	3.30244112
0.620838015	3.319932699
0.620849598	3.294092178
0.620861165	3.313578844
0.620872726	3.285491228
0.620884307	3.311801672
0.620895896	3.282693863
0.620907476	3.315989733
0.620919045	3.281779051
0.6209306	3.320387125
0.6209422	3.284785986
0.620953775	3.317815542
0.620965323	3.274825096
0.620976933	3.319277763
0.620988497	3.277845144
0.621000055	3.313368082
0.621011637	3.268530607
0.621023213	3.31291914
0.62103479	3.274546623
0.62104636	3.308673143
